,State,County,Water
341,FL,Gulf County,1.0052127587483124
342,FL,Hamilton County,1.1593879502709594
343,FL,Hardee County,1.6426735218508997
344,FL,Hendry County,1.0289594856795343
345,FL,Hernando County,1.0085327872349503
346,FL,Highlands County,1.0110565653885277
347,FL,Hillsborough County,1.0040583756757195
348,FL,Holmes County,1.0885582713425435
349,FL,Indian River County,1.0086861351910081
350,FL,Jackson County,1.0267472650921443
351,FL,Jefferson County,1.0253530410972795
352,FL,Lafayette County,1.1819174094960887
353,FL,Lake County,1.0046064905451781
354,FL,Lee County,1.0023294330858699
355,FL,Leon County,1.02783654381472
356,FL,Levy County,1.003383384873563
357,FL,Liberty County,1.1168087840205583
358,FL,Madison County,1.0485767026134265
359,FL,Manatee County,1.0066403707983054
360,FL,Marion County,1.0132220914704289
361,FL,Martin County,1.0047535746881655
362,FL,Miami-Dade County,1.0018743615455985
363,FL,Monroe County,1.0003629479503604
364,FL,Nassau County,1.0127743287090263
365,FL,Okaloosa County,1.0065438174013193
366,FL,Okeechobee County,1.0080647112430139
367,FL,Orange County,1.009908347783007
368,FL,Osceola County,1.0055749750519867
369,FL,Palm Beach County,1.0024136807424482
370,FL,Pasco County,1.008208900089477
371,FL,Pinellas County,1.0029820925343313
372,FL,Polk County,1.0046578137153983
373,FL,Putnam County,1.009995901680311
374,FL,St. Johns County,1.0045078346165637
375,FL,St. Lucie County,1.0085350448943362
376,FL,Santa Rosa County,1.006134329548452
377,FL,Sarasota County,1.0058653090431335
378,FL,Seminole County,1.0271554650373387
379,FL,Sumter County,1.0301377294234653
380,FL,Suwannee County,1.2125850340136055
381,FL,Taylor County,1.0052660680902603
382,FL,Union County,1.1389467833819646
383,FL,Volusia County,1.0030097455561107
384,FL,Wakulla County,1.007674243703283
385,FL,Walton County,1.0049291435613061
386,FL,Washington County,1.0305147844130482
387,GA,Appling County,1.1629195177582274
388,GA,Atkinson County,1.1604621309370988
389,GA,Bacon County,1.3589375448671932
390,GA,Baker County,1.1220554131575735
391,GA,Baldwin County,1.0938438438438438
392,GA,Banks County,1.357653791130186
393,GA,Barrow County,1.2805049088359046
394,GA,Bartow County,1.0864528399757931
395,GA,Ben Hill County,1.2088991017338626
396,GA,Berrien County,1.1441545336600836
397,GA,Bibb County,1.1516530178950561
398,GA,Bleckley County,1.2346316283435006
399,GA,Brantley County,1.1712622024319232
400,GA,Brooks County,1.1752541184717842
401,GA,Bryan County,1.0523834468308015
402,GA,Bulloch County,1.0603172688340672
403,GA,Burke County,1.1109262340543538
404,GA,Butts County,1.1893580761219467
405,GA,Calhoun County,1.2374732842555212
406,GA,Camden County,1.0058938980473515
407,GA,Candler County,1.1469507714915503
408,GA,Carroll County,1.1741250217656276
409,GA,Catoosa County,1.7704160246533127
410,GA,Charlton County,1.1024905196269346
411,GA,Chatham County,1.0048970877019436
412,GA,Chattahoochee County,1.2915451895043732
413,GA,Chattooga County,1.819672131147541
414,GA,Cherokee County,1.0699056274030059
415,GA,Clarke County,1.3532320734722714
416,GA,Clay County,1.0437541019470575
417,GA,Clayton County,1.2684563758389262
418,GA,Clinch County,1.0403697872512212
419,GA,Cobb County,1.1715854495538778
420,GA,Coffee County,1.0354572208630288
421,GA,Colquitt County,1.093870271285084
422,GA,Columbia County,1.0540044283631258
423,GA,Cook County,1.1428163381890888
424,GA,Coweta County,1.169061707523246
425,GA,Crawford County,1.3937007874015748
426,GA,Crisp County,1.1068147831659902
427,GA,Dade County,1.846740050804403
428,GA,Dawson County,1.2183406113537119
429,GA,Decatur County,1.0369986680479504
430,GA,DeKalb County,1.21982853374368
431,GA,Dodge County,1.1216989168796399
432,GA,Dooly County,1.1576292559899117
433,GA,Dougherty County,1.1440092165898617
434,GA,Douglas County,1.510204081632653
435,GA,Early County,1.2104377104377104
436,GA,Echols County,1.1465201465201464
437,GA,Effingham County,1.16061676839062
438,GA,Elbert County,1.0413924417401383
439,GA,Emanuel County,1.094553706505295
440,GA,Evans County,1.1997602876548141
441,GA,Fannin County,1.160359204618345
442,GA,Fayette County,1.167785234899329
443,GA,Floyd County,1.1047998323202683
444,GA,Forsyth County,1.0416267743412564
445,GA,Franklin County,1.1682651859330304
446,GA,Fulton County,1.1157943492357574
447,GA,Gilmer County,1.175284837861525
448,GA,Glascock County,1.5837711617046117
449,GA,Glynn County,1.006007810153199
450,GA,Gordon County,1.3091190108191655
451,GA,Grady County,1.1486104919007283
452,GA,Greene County,1.0505663430420713
453,GA,Gwinnett County,1.1366120218579234
454,GA,Habersham County,1.30441400304414
455,GA,Hall County,1.02665884673829
456,GA,Hancock County,1.1290489095367144
457,GA,Haralson County,1.4975124378109452
458,GA,Harris County,1.099314728374218
459,GA,Hart County,1.0391389432485323
460,GA,Heard County,1.16493485073396
461,GA,Henry County,1.1124353496739374
462,GA,Houston County,1.186219739292365
463,GA,Irwin County,1.1063716625890863
464,GA,Jackson County,1.225275963054742
465,GA,Jasper County,1.1587301587301586
466,GA,Jeff Davis County,1.1776830135039091
467,GA,Jefferson County,1.239120038259206
468,GA,Jenkins County,1.1614465611882467
469,GA,Johnson County,1.218245307725884
470,GA,Jones County,1.403225806451613
471,GA,Lamar County,1.2999400119976006
472,GA,Lanier County,1.064528618442279
473,GA,Laurens County,1.0821827744904668
474,GA,Lee County,1.1446131597975415
475,GA,Liberty County,1.0114681529392875
476,GA,Lincoln County,1.0208689845152135
477,GA,Long County,1.227842333105491
478,GA,Lowndes County,1.0645619471883272
479,GA,Lumpkin County,1.441696113074205
480,GA,McDuffie County,1.1007556675062973
481,GA,McIntosh County,1.0066423997661875
482,GA,Macon County,1.1574555188159346
483,GA,Madison County,1.233863423760524
484,GA,Marion County,1.405844155844156
485,GA,Meriwether County,1.19293845263361
486,GA,Miller County,1.4460303300624442
487,GA,Mitchell County,1.3650967506389193
488,GA,Monroe County,1.3161555485298766
489,GA,Montgomery County,1.1621533971136695
490,GA,Morgan County,1.1209774981853375
491,GA,Murray County,1.311720698254364
492,GA,Muscogee County,1.179083094555874
493,GA,Newton County,1.125
494,GA,Oconee County,1.3279763857002296
495,GA,Oglethorpe County,1.248323814253787
496,GA,Paulding County,1.3278688524590163
497,GA,Peach County,1.4918839153959667
498,GA,Pickens County,1.6045949214026602
499,GA,Pierce County,1.2466699555994079
500,GA,Pike County,1.231535077564251
501,GA,Polk County,1.3568879371877232
502,GA,Pulaski County,1.3177629488401652
503,GA,Putnam County,1.0586923347810775
504,GA,Quitman County,1.096824167312161
505,GA,Rabun County,1.1267587780453796
506,GA,Randolph County,1.2749518834204014
507,GA,Richmond County,1.1900057001710052
508,GA,Rockdale County,1.3041362530413625
509,GA,Schley County,1.521376433785193
510,GA,Screven County,1.0849762066621347
511,GA,Seminole County,1.0447928331466965
512,GA,Spalding County,1.2124044180118947
513,GA,Stephens County,1.1648532805802836
514,GA,Stewart County,1.1705029838022165
515,GA,Sumter County,1.0912408759124088
516,GA,Talbot County,1.228675966155957
517,GA,Taliaferro County,1.5747126436781609
518,GA,Tattnall County,1.1017501017501017
519,GA,Taylor County,1.24919013207077
520,GA,Telfair County,1.1297858533419858
521,GA,Terrell County,1.3064664419246093
522,GA,Thomas County,1.1160496692584425
523,GA,Tift County,1.112195669247167
524,GA,Toombs County,1.1252191334835964
525,GA,Towns County,1.1563477173233272
526,GA,Treutlen County,1.2491280518186347
527,GA,Troup County,1.0303296836613993
528,GA,Turner County,1.1789869339538215
529,GA,Twiggs County,1.191497510532363
530,GA,Union County,1.1241464928615768
531,GA,Upson County,1.1954270080125073
532,GA,Walker County,1.6075334143377886
533,GA,Walton County,1.1882175795219274
534,GA,Ware County,1.0621195179525407
535,GA,Warren County,1.295159386068477
536,GA,Washington County,1.1449065352847414
537,GA,Wayne County,1.1249687578105474
538,GA,Webster County,1.4662004662004662
539,GA,Wheeler County,1.1728907330567082
540,GA,White County,1.3982477100756672
541,GA,Whitfield County,1.6281407035175879
542,GA,Wilcox County,1.184535892231039
543,GA,Wilkes County,1.1784439685938615
544,GA,Wilkinson County,1.1774622892635316
545,GA,Worth County,1.1980982567353406
546,HI,Hawaii County,1.0009445412599236
547,HI,Honolulu County,1.000638318515833
548,HI,Kalawao County,1.0239028587819103
549,HI,Kauai County,1.0015445709104782
550,HI,Maui County,1.0008078862625405
551,ID,Ada County,1.1104850292785327
552,ID,Adams County,1.129819550824354
553,ID,Bannock County,1.0273493053276446
554,ID,Bear Lake County,1.0132229656467353
555,ID,Benewah County,1.1200912693647171
556,ID,Bingham County,1.036419258503897
557,ID,Blaine County,1.0548185505975223
558,ID,Boise County,1.1194315060312912
559,ID,Bonner County,1.0053725890506635
560,ID,Bonneville County,1.0282941459412047
561,ID,Boundary County,1.096824167312161
562,ID,Butte County,1.33003300330033
563,ID,Camas County,1.1831837332844843
564,ID,Canyon County,1.0578034682080926
565,ID,Caribou County,1.0282206857626641
566,ID,Cassia County,1.0620347394540943
567,ID,Clark County,1.5112474437627812
568,ID,Clearwater County,1.0315347986503107
569,ID,Custer County,1.0575804687050152
570,ID,Elmore County,1.0363967242948136
571,ID,Franklin County,1.1756851721714687
572,ID,Fremont County,1.0301577249012335
573,ID,Gem County,1.172384071711774
574,ID,Gooding County,1.170852554245686
575,ID,Idaho County,1.0370068832802901
576,ID,Jefferson County,1.0767224182906245
577,ID,Jerome County,1.1672520488375984
578,ID,Kootenai County,1.0138049090256496
579,ID,Latah County,1.5221932114882506
580,ID,Lemhi County,1.1565190170605728
581,ID,Lewis County,1.51440329218107
582,ID,Lincoln County,1.1824151769427216
583,ID,Madison County,1.1978630787495055
584,ID,Minidoka County,1.1567889620570713
585,ID,Nez Perce County,1.1081548777849881
586,ID,Oneida County,1.3932363350373573
587,ID,Owyhee County,1.0314159153026923
